a,PRN_3sg,personal pronoun,persoonlijk voornaamwoord,личное местоимение,3rd person singular subject,3de persoon enkelvoud,"Di Hendrik doro tide, a no taki no wan sma odi.","When Hendrik arrived today, he didn’t greet anyone.","Toen Hendrik vandaag aankwam, groette hij niemand."
den,PRN_3pl,personal pronoun,persoonlijk voornaamwoord,личное местоимение,3rd person plural subject or object,3de persoon meervoud,"Di den man gwe na den kondre baka, den taki fu Sranan.","When the people returned to their country, they spoke about Suriname.","Toen de mensen in hun land teruggekeerd waren, sprakenzij over Suriname."
en,PRN_3sg,personal pronoun,persoonlijk voornaamwoord,личное местоимение,3rd person singular object pronoun,3de persoon enkelvoud lijdendvoorwerp en meewerkendvoorwerp,Mi gi en a buku.,I gave him the book.,Ik gaf hem het boek.
en,PRN_3sgemp,personal pronoun,persoonlijk voornaamwoord,личное местоимение,emphatic 3rd person singular subject pronoun,met nadruk: 3de persoon onderwerp,En na mi basi.,He is my boss.,H¡j is mijn baas.
mi,PRN_1sg,personal pronoun,persoonlijk voornaamwoord,личное местоимение,1st person singular subject or object,1ste persoon enkelvoud,Gi mi en dya.,Give it to me here.,Geef hier (lett: geef het me hier).
unu,PRN_1+2pl,personal pronoun,persoonlijk voornaamwoord,личное местоимение,1st + 2nd person plural subject or object,1ste + 2de persoon meervoud,Mi no man go nanga unu tide.,I can’t go with you today.,Ik kan vandaag niet met jullie meegaan.
wi,PRN_1pl,personal pronoun,persoonlijk voornaamwoord,личное местоимение,1st person plural subject or object,1ste persoon meervoud,Wi e kon dalek.,We are coming right away.,We komen straks.
yu,PRN_2sg,personal pronoun,persoonlijk voornaamwoord,личное местоимение,2nd person singular subject or object,2de persoon enkelvoud,,,
i,PRN_2sg,personal pronoun,persoonlijk voornaamwoord,личное местоимение,2nd person singular subject or object,2de persoon enkelvoud,,,
y',PRN_2sg,personal pronoun,persoonlijk voornaamwoord,личное местоимение,2nd person singular subject or object,2de persoon enkelvoud,,,
